Category: All categories

Week,sell bitcoin: (Worldwide)
2017-05-14,6
2017-05-21,18
2017-05-28,10
2017-06-04,10
2017-06-11,13
2017-06-18,10
2017-06-25,9
2017-07-02,9
2017-07-09,9
2017-07-16,11
2017-07-23,9
2017-07-30,15
2017-08-06,14
2017-08-13,20
2017-08-20,13
2017-08-27,16
2017-09-03,12
2017-09-10,13
2017-09-17,10
2017-09-24,7
2017-10-01,9
2017-10-08,14
2017-10-15,14
2017-10-22,16
2017-10-29,23
2017-11-05,26
2017-11-12,23
2017-11-19,23
2017-11-26,64
2017-12-03,100
2017-12-10,90
2017-12-17,86
2017-12-24,40
2017-12-31,43
2018-01-07,36
2018-01-14,34
2018-01-21,23
2018-01-28,22
2018-02-04,22
2018-02-11,15
2018-02-18,13
2018-02-25,11
2018-03-04,11
2018-03-11,9
2018-03-18,9
2018-03-25,8
2018-04-01,8
2018-04-08,7
2018-04-15,8
2018-04-22,9
2018-04-29,9
2018-05-06,7
